業,種 目,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大,分 類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中,分 類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
"",小 分 類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
建,設 業,1,6.7,50,353,289,285,296,299,310 289,285,299,310 314
総,合 工 事 業,2,6.2,53,329,270,267,273,276,292 270,267,276,292 299
"",建築工事業,,,,,,,,,,,,
"",(木造建築工,3,9.3,92,362,407,388,459,473,509 413,388,473,509 541
"",事業を除く),,,,,,,,,,,,
"",その他の総合,,,,,,,,,,,,
"",237工事業,4,5.4,43,320,235,235,226,226,236 234,235,226,236
職,別 工 事 業,5,7.3,41,346,306,308,299,303,311 304,308,303,311 324
設,備 工 事 業,6,7.7,49,410,329,322,346,350,353 330,322,350,353 349
"",電 気 工 事 業,7,6.0,40,418,276,271,293,287,294 275,271,287,294 287
"",電気通信・信,,,,,,,,,,,,
"",240号装置工事業,8,3.3,28,171,207,197,244,242,240 209,197,242,240
"",その他の設備,,,,,,,,,,,,
"",410工事業,9,9.6,60,455,388,380,401,411,413 388,380,411,413
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
製 造,業,10,5.7,32,292,321,319,321,326,338 320,319,326,338 340
食 料 品 製 造 業,,11,5.6,31,303,453,455,434,444,456 451,455,444,456 455
畜産食料品製,,,,,,,,,,,,,
536造業,,12,6.3,38,306,539,538,532,538,542 536,538,538,542
パン・菓子製造,,,,,,,,,,,,,
603業,,13,5.5,34,334,615,629,539,542,591 614,629,542,591
その他の食料,,,,,,,,,,,,,
397品製造業,,14,5.4,29,294,390,390,381,393,399 388,390,393,399
飲料・たばこ・飼,,,,,,,,,,,,,
"",,15,6.5,29,353,399,398,397,402,423 398,398,402,423 422
料製造業,,,,,,,,,,,,,
繊 維 工,業,16,5.9,32,316,356,367,338,349,373 357,367,349,373 378
パルプ・紙・紙加,,,,,,,,,,,,,
"",,17,2.7,17,225,147,148,137,133,137 145,148,133,137 136
工品製造業,,,,,,,,,,,,,
印刷・同関連業,,18,3.7,12,322,188,193,178,173,171 186,193,173,171 170
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
